PMC_ID,PMC_Year,Journal,Article Title,Secondary analysis,Data availability statement (yes/no),Data availability (yes/no),"If Data availability = yes, where do they share data? (SRA/GEO/other)","If other database, specifiy which one",Code availability statement (Yes/No),Code availability (Yes/No (reason)),Code availability (Yes/No),"If Code availability = yes,  What kind of code do they share?","If Code availability = yes, where do they share code (supplementary/ GitHub/ other)","If Code availability = yes, do they share the code as notebook or R markdown file (.Rmd)? (yes/no)","If yes, notebook/Rmd","If yes, single/ multiple",Summary data (yes/ no/ partial),Number of citations,Gender of the PI,"Experience of PI/ Last author (Check their profile or webpage to see whether they are an associate/ assistant/ professor/ professor emiretus, etc)",PI/ last author's training background - CS/ Bioinformatics/ Other,PI (last author's) education level - PhD/PostDoc/ Master's etc,First author's education level,First author's training background (CS/ Bioinformatics/ Other)
PMC5048656,2016,Genome_Med,Transmission of methicillin-resistant Staphylococcus aureus in long-term care facilities and their related healthcare networks.,no,yes,yes,other,ENA,No,No,No,,,,,,No,33,Female,Professor,Other ,Phd,Phd,Genomics
PMC4752745,2016,Genome_Med,Identifying the effect of patient sharing on between-hospital genetic differentiation of methicillin-resistant Staphylococcus aureus,no,yes,yes,other,ENA,No,No,No,,,,,,No,20,Male,Professor,Other,Phd,Phd,Other 
PMC5015242,2016,Genome_Med,Epigenomic and metabolic responses of hypothalamic POMC neurons to gestational nicotine exposure in adult offspring,no,yes,yes,SRA,,No,No,No,,,,,,No,12,Male,Professor,Other,Phd,,
PMC5180407,2016,Genome_Med,Implementation of next generation sequencing into pediatric hematology-oncology practice: moving beyond actionable alterations,no,yes,yes,other, cBioPortal,No,No,No,,,,,,No,109,Male,,Other,MD,EdD,Other
PMC4797182,2016,Genome_Med,Exploring the implications of distinct mutational signatures and mutation rates in aging and cancer,yes,,,,,No,No,No,,,,,,No,15,Male,Professor,Other,Phd,,
PMC4835935,2016,Genome_Med,Microbiome mediation of infections in the cancer setting,yes,,,,,No,No,No,,,,,,No,59,Male,Professor,Other,MD,MD,Other
PMC4992240,2016,Genome_Med,Migraine genetics: from genome-wide association studies to translational insights,yes,,,,,No,No,No,,,,,,No,22,Male,Associate Member,Other,MD and Phd,Phd,Computational Biology
PMC5041586,2016,Genome_Med,qKAT: a high-throughput qPCR method for KIR gene copy number and haplotype determination,yes,,,,,No,No (Available upon request),No,,,,,,Can't tell,16,,,,,,
PMC4872356,2016,Genome_Med,An adaptive association test for microbiome data,yes,,,,,Yes,Yes,Yes,Package,GitHub,No,,,No,58,Male,Professor,CS,Phd,Phd ,Biostatistics
PMC4784276,2016,Genome_Med,CoINcIDE: A framework for discovery of patient subtypes across multiple datasets,yes,,,,,No,Yes,Yes,Package,GitHub,No,,,Yes,25,Male,Associate Professor,Bioinformatics,Phd,Phd ,Biomedical Informatics
PMC4942401,2016,Nat_Biotechnol,A bright cyan-excitable orange fluorescent protein facilitates dual-emission microscopy and enhances bioluminescence imaging in vivo,no,no,no,,,No,No,No,,,,,,No,149,Male,Associate Professor,Other,MD,,
PMC4786489,2016,Nat_Biotechnol,A dual AAV system enables the Cas9-mediated correction of a metabolic liver disease in newborn mice,no,no,no,,,No,No,No,,,,,,No,424,Male,Professor,Other,MD,,
PMC5225075,2016,Nat_Biotechnol,Multiplex gene editing by CRISPR-Cpf1 through autonomous processing of a single crRNA array,no,no,no,,,No,No,No,,,,,,No,572,Male,Associate Professor,Other,Phd,Phd,Other
PMC5143225,2016,Nat_Biotechnol,Modeling of RNA-seq fragment sequence bias reduces systematic errors in transcript abundance estimation,no,no,no,,,No,Yes,Yes,Pipeline,GitHub,Yes,Rmd,Single,Yes,100,Male,Professor,Other,Phd,Phd,Computational Biology
PMC4980997,2016,Nat_Biotechnol,A recellularized human colon model identifies cancer driver genes,no,no,yes,SRA,,No,No,No,,,,,,No,69,Male,Professor,Other,Phd,Phd,Other
PMC5125825,2016,Nat_Biotechnol,Genome-scale high-resolution mapping of activating and repressive nucleotides in regulatory regions,no,no,yes,other,GSE,No,Yes,Yes,Pipeline,GitHub,No,,,No,109,Male,Professor,CS,Phd,Phd,CS
PMC5101133,2016,Nat_Biotechnol,Mitochondrial protein functions elucidated by multi-omic mass spectrometry profiling,no,no,yes,other,Excel Sheets,No,Yes,Yes,Analytical,GitHub,No,,,Yes,90,Male,Professor,Other,PostDoc,MD,Other
PMC5513182,2016,Nat_Biotechnol,Blood pressure regulation by CD4+ lymphocytes expressing choline acetyltransferase,yes,,,,,No,No (Available upon request),No,,,,,,No,44,Male,Professor,Other,MD,MD and Phd,Other
PMC4900928,2016,Nat_Biotechnol,Profiling of engineering hotspots identifies an allosteric CRISPR-Cas9 switch,yes,,,,,No,Yes,Yes,Analytical,GitHub,No,,,No,154,Male,Associate Professor,CS,Phd,Phd ,Other
PMC4900911,2016,Nat_Biotechnol,Systematic comparison of CRISPR-Cas9 and RNAi screens for essential genes,yes,,,,,No,Yes,Yes,Pipeline,Other (Bitbucket),No,,,Yes,277,Male,Associate Professor,Other,PostDoc,Phd,Other
PMC4963286,2016,Nat_Genet,"Genome-wide association study of behavioral, physiological and gene expression traits in commercially available outbred CFW mice",no,no,yes,other,Excel Sheets,No,No,No,,,,,,No,92,Male,Professor,Other,Phd,Phd,Other
PMC5207801,2016,Nat_Genet,Detection and interpretation of shared genetic influences on 42 human traits,yes,,,,,No,No,No,,,,,,No,813,Male,Research Fellow,Other,Phd,Phd,Human Genetics
PMC4811732,2016,Nat_Genet,"Mutations in nuclear pore genes NUP93, NUP205, and XPO5 cause steroid resistant nephrotic syndrome",yes,,,,,No,No,No,,,,,,No,117,Male,Professor,Other,MD,,
PMC5042848,2016,Nat_Genet,Noncoding somatic and inherited single-nucleotide variants converge to promote ESR1 expression in breast cancer,yes,,,,,No,No,No,,,,,,No,72,Male,Professor,Other,PostDoc,Phd,Other
PMC5040167,2016,Nat_Genet,Network-based inference of protein activity helps functionalize the genetic landscape of cancer,yes,,,,,No,No,No,,,,,,No,12,Male,Chair,Other,Phd,Phd,Other
PMC5238942,2016,Nat_Genet,Mycobacterium tuberculosis Lineage 4 comprises globally distributed and geographically restricted sublineages,yes,,,,,No,No,No,,,,,,No,241,Male,Associate Professor,Other,PostDoc,Phd,CS
PMC5042855,2016,Nat_Genet,Transcription factors mediate condensin recruitment and global chromosomal organization in fission yeast,yes,,,,,No,No,No,,,,,,No,58,Male,Professor,Other,Phd,Phd,Other
PMC5042863,2016,Nat_Genet,"The genetics of blood pressure regulation and its target organs from association studies in 342,415 individuals",yes,,,,,No,No,No,,,,,,No,308,Female,Professor,Other,PostDoc,,
PMC5131845,2016,Nat_Genet,Genome-wide association analyses identify new susceptibility loci for oral cavity and pharyngeal cancer,yes,,,,,No,No,No,,,,,,No,99,Male,Other,Other,Phd,Phd,Other
PMC4817234,2016,Nat_Genet,A multiple phenotype imputation method for genetic studies,yes,,,,,No,Yes,Yes,Pipeline,Other(Website),No,,,No,78,Male,Professor,Other Statistics,Phd,Phd,Other Statistics
PMC5289555,2016,Nat_Methods,Multi-domain structure and correlated dynamics determined by self-consistent FRET networks,no,no,yes,other,supplementary file,No,No,No,,,,,,,94,Male,Professor,Other ,PostDoc,PostDoc,Other
PMC5423094,2016,Nat_Methods,RESA identifies mRNA regulatory sequences with high resolution,no,yes,yes,other,SRP,No,Yes,Yes,Pipeline,GitHub,No,,,No,29,Male,Professor,Other,PostDoc,Phd,Other Genetics
PMC5330809,2016,Nat_Methods,Massively multiplex single-cell Hi-C,no,yes,yes,GEO,,No,Yes,Yes,Analytical,GitHub,No,,,Yes,356,Male,Professor,Other-Genetics,MD-Phd,Phd,Other
PMC4772672,2016,Nat_Methods,Characterizing transcriptional heterogeneity through pathway and gene set overdispersion analysis,no,yes,yes,GEO,,No,Yes,Yes,Package,GitHub,Yes,Rmd,Multiple,No,296,Male,Associate Professor,Other Computational Biology and Genomics,PostDoc,PostDoc,Bioinformatics
PMC4854847,2016,Nat_Methods,Inferring causal molecular networks: empirical assessment through a community-based effort,yes,,,,,No,No,No,,,,,,No,189,Male,Head,Other Machine Learning,PostDoc,Phd,Statistics and Complexity Science
PMC5199618,2016,Nat_Methods,TACO produces robust multi-sample transcriptome assemblies from RNA-seq,yes,,,,,Yes,Yes,Yes,Tool,GitHub,No,,,No,86,Male,,,MD-Phd,MD-Phd,Others
PMC5008461,2016,Nat_Methods,TRIC: an automated alignment strategy for reproducible protein quantification in targeted proteomics,yes,,,,,No,Yes,Yes,Software,GitHub,No,,,Yes,130,Male,Professor,Other,Phd,Phd,Other Computational Biology
PMC5199621,2016,Nat_Methods,novoBreak: local assembly for breakpoint detection in cancer genomes,yes,,,,,Yes,Yes,Yes,Pipeline,Other(Sourceforge),No,,,No,87,Male, Associate Professor,Other,Phd,Phd,CS and Bioinformatics
PMC4930141,2016,Nat_Methods,Data-driven hypothesis weighting increases detection power in genome-scale multiple testing,yes,,,,,Yes,Yes,Yes,Pipeline,Other(Website),Yes,Rmd,Single,No,297,Male,,Other Cheminformatics,PostDoc,Phd,Other Statistics
PMC5045719,2016,Nat_Methods,DSBCapture: in situ capture and direct sequencing of dsDNA breaks,yes,,,,,No,Yes,Yes,Pipeline,Others(Supplementary),No,,,No,108,Male,Professor,Other,Phd,,
PMC5001577,2016,Nucleic_Acids_Res,Subscriptions,no,no,no,,,No,No ,No ,,,,,,No,0,,,,,,
PMC5210665,2016,Nucleic_Acids_Res,DrugCentral: online drug compendium,no,yes,yes,other,PostgreSQL,No,No,No,,,,,,No,174,Male,Professor,Other,MD-Phd,Phd,Other Computational Chemistry
PMC5001587,2016,Nucleic_Acids_Res,Single base resolution analysis of 5-hydroxymethylcytosine in 188 human genes: implications for hepatic gene expression,no,no,yes,other,supplementary file,No,No,No,,,,,,No,18,Male,Professor,Other,Phd,,
PMC5001604,2016,Nucleic_Acids_Res,"Splice-switching antisense oligonucleotides as therapeutic drugs
",yes,,,,,No,No,No,,,,,,No,275,Female,Professor,Other,PostDoc,Phd,Other
PMC4838366,2016,Nucleic_Acids_Res,"Defective histone supply causes condensin-dependent chromatin alterations, SAC activation and chromosome decatenation impairment
",yes,,,,,No,No,No,,,,,,No,13,Male,,,Phd,Phd,Other Molecular Biology and Genetics
PMC4987919,2016,Nucleic_Acids_Res,BetaSCPWeb: side-chain prediction for protein structures using Voronoi diagrams and geometry prioritization,yes,,,,,No,No,No,,,,,,No,24,Male,Professor,Other,Phd,Phd,Other
PMC4987952,2016,Nucleic_Acids_Res,3D-GNOME: an integrated web service for structural modeling of the 3D genome,yes,,,,,No,No ,No ,,,,,,No,34,Male,Professor,Other,PostDoc,Phd,
PMC4889955,2016,Nucleic_Acids_Res,The logic of DNA replication in double-stranded DNA viruses: insights from global analysis of viral genomes,yes,,,,,No,No ,No ,,,,,,No,55,Male,Professor,Other,PostDoc,Phd,Other
PMC4937319,2016,Nucleic_Acids_Res,Redundans: an assembly pipeline for highly heterozygous genomes,yes,,,,,No,Yes,Yes,Pipeline,GitHub,No,,,No,281,Male,Professor,Bioinformatics,Phd,Phd,
PMC4987948,2016,Nucleic_Acids_Res,Heatmapper: web-enabled heat mapping for all,yes,,,,,No,Yes,Yes,Software,GitHub,No,,,Yes,1009,Male,Professor,Other,Phd,,
PMC5860066,2017,Bioinformatics,OMSim: a simulator for optical map data,yes,,,,,No,No,No,,,,,,No,10,Male,Associate Professor ,Bioinformatics,PostDoc,Masters,Bioinformatics
PMC5870698,2017,Bioinformatics,HTSvis: a web app for exploratory data analysis and visualization of arrayed high-throughput screens,yes,,,,,Yes,Yes,Yes,Analytical,GitHub,No,,,No,5,Male,Head of Division,Other ,PostDoc,Masters ,Other
PMC6031019,2017,Bioinformatics,GDSCTools for mining pharmacogenomic interactions in cancer,yes,,,,,No,Yes,Yes,Software,GitHub,Yes,Notebook,Multiple,Yes,27,Male,Group Leader,Other,PostDoc,Phd,CS
PMC5860120,2017,Bioinformatics,Kart: a divide-and-conquer algorithm for NGS read alignment,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No ,,,No,33,Male,Chair Professor,CS,Phd,Postdoc,CS and Bioinformatics
PMC5870853,2017,Bioinformatics,"cyvcf2: fast, flexible variant analysis with Python",yes,,,,,Yes,Yes,Yes,Analytical,GitHub,No ,,,No,30,Male,Professor,CS,Phd,,
PMC5860161,2017,Bioinformatics,FALCON: a toolbox for the fast contextualization of logical networks,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No ,,,No,10,Male,Professor,,,Postdoc,Bioinformatics
PMC5905622,2017,Bioinformatics,SimulaTE: simulating complex landscapes of transposable elements of populations,yes,,,,,Yes,Yes,Yes,Tool,Other (Sourceforge),No,,,No,7,Male ,Professor,Other ,Phd,,
PMC5870603,2017,Bioinformatics,"Estimation of time-varying growth, uptake and excretion rates from dynamic metabolomics data",yes,,,,,Yes,Yes,Yes,Pipeline,Other (Website),No ,,,,10,Female,Research Scientist,Other ,Phd,Postdoc,
PMC5870860,2017,Bioinformatics,Threshold-seq: a tool for determining the threshold in short RNA-seq datasets,yes,,,,,Yes,Yes,Yes,Tool,Other (Website),No ,,,No,11,Male,Professor,CS,Phd,Phd,Other
PMC5860361,2017,Bioinformatics,graphkernels: R and Python packages for graph comparison,yes,,,,,Yes,Yes,Yes,Package,Others (Website),No,,,No,45,Male,Professor,CS,Phd,Postdoc,Bioinformatics
PMC5333178,2017,BMC_Bioinformatics,Interactive exploration of ligand transportation through protein tunnels,no,no,No (Available upon request),,,No,No,No,,,,,,No,16,Female,Associate Professor ,CS,Phd,Phd,Bioinformatics
PMC5745977,2017,BMC_Bioinformatics,"A comparison of genotyping-by-sequencing analysis methods on low-coverage crop datasets shows advantages of a new workflow, GB-eaSy",no,yes,yes,other,GB-eaSy pipeline,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,37,Male,Professor,Other ,Phd,Phd,Bioinformatics
PMC5379749,2017,BMC_Bioinformatics,Guide Picker is a comprehensive design tool for visualizing and selecting guides for CRISPR experiments,yes,,,,,No,No,No,,,,,,No,29,Male,VP,Other ,Masters,Phd,Other
PMC5773911,2017,BMC_Bioinformatics,Predicting enhancers with deep convolutional neural networks,yes,,,,,No,No (Available upon request),No,,,,,,No,59,,,,,,
PMC5568075,2017,BMC_Bioinformatics,A regulation probability model-based meta-analysis of multiple transcriptomics data sets for cancer biomarker identification,yes,,,,,Yes,No (Link Expired),No,,,,,,No,0,,,,,,
PMC5260008,2017,BMC_Bioinformatics,FuGePrior: A novel gene fusion prioritization algorithm based on accurate fusion structure analysis in cancer RNA-seq samples,yes,,,,,No,No (Link Expired),No,,,,,,No,7,Female,Assistant Professor,Bioinformatics,Phd,Phd ,CS
PMC5697234,2017,BMC_Bioinformatics,Synima: a Synteny imaging tool for annotated genome assemblies,yes,,,,,Yes,Yes,Yes,Tool,GitHub,No,,,Yes,25,Male,Lecturer,Bioinformatics,Phd,,
PMC5721689,2017,BMC_Bioinformatics,Bayesian estimation of scaled mutation rate under the coalescent: a sequential Monte Carlo approach,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,1,Male,Professor,Other,Phd,Phd,Other
PMC5490186,2017,BMC_Bioinformatics,ISVASE: identification of sequence variant associated with splicing event using RNA-seq data,yes,,,,,Yes,Yes,Yes,Tool,Other(Sourceforge),No,,,No,0,Male,Professor,,,,
PMC5353803,2017,BMC_Bioinformatics,microclass: an R-package for 16S taxonomy classification,yes,,,,,No,Yes,Yes,Package,Other(Website),Yes,Rmd,Single,No,17,Male,Associate Professor,,,Phd,Informatics
PMC5599895,2017,Genome_Biol,Dynamic DNA methylation reconfiguration during seed development and germination,no,yes,yes,GEO,,No,No,No,,,,,,No,144,Male,Professor,Other,Postdoc,Phd,Other
PMC5604343,2017,Genome_Biol,DNA epigenome editing using CRISPR-Cas SunTag-directed DNMT3A,no,yes,yes,GEO,,No,No,No,,,,,,No,117,Female,Chair and Professor,Other,Postdoc,Phd ,Other
PMC5517843,2017,Genome_Biol,Methicillin-resistant Staphylococcus aureus emerged long before the introduction of methicillin into clinical practice,no,yes,yes,other,ENA,No,No,No,,,,,,No,181,Male,Professor,,Postdoc,Phd,
PMC5366155,2017,Genome_Biol,MeDeCom: discovery and quantification of latent components of heterogeneous methylomes,no,yes,yes,GEO,,Yes,Yes,Yes,Package,GitHub,Yes,Rmd,Single,Yes,58,Male,Professor,,Postdoc,,
PMC5709945,2017,Genome_Biol,OMSV enables accurate and comprehensive identification of large structural variations from nanochannel-based single-molecule optical maps,no,yes,yes,other,Zenodo,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,25,Male,Professor,CS,Postdoc,,
PMC5473967,2017,Genome_Biol,Translational contributions to tissue specificity in rhythmic and constitutive gene expression,no,yes,yes,GEO,,Yes,Yes,Yes,Analytical,GitHub,No,,,Yes,39,Male,Associate Professor,Other,Postdoc,Phd,Other
PMC5663038,2017,Genome_Biol,Comparative epigenomics in the Brassicaceae reveals two evolutionarily conserved modes of PRC2-mediated gene regulation.,yes,,,,,No,No,No,,,,,,No,9,Male,Professor,,,Phd,Computational Biology
PMC5412043,2017,Genome_Biol,Unraveling the clonal hierarchy of somatic genomic aberrations,yes,,,,,No,No,No,,,,,,No,86,Female,Professor,Other,Phd,Phd,Other
PMC5320668,2017,Genome_Biol,epiG: statistical inference and profiling of DNA methylation from whole-genome bisulfite sequencing data,yes,,,,,Yes,No (Link Expired),No,,,,,,Can't tell,6,Male,Professor,Other,Postdoc,Postdoc,Other
PMC5657048,2017,Genome_Biol,McEnhancer: predicting gene expression via semi-supervised assignment of enhancers to target genes,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,21,Male,Professor,CS,Postdoc,Phd,CS
PMC5372248,2017,Genome_Med,Ethnic and diet-related differences in the healthy infant microbiome,no,yes,no,,,No,No,No,,,,,,No,76,Female,Professor,Other,"MD,Phd",Postdoc,Other
PMC5394620,2017,Genome_Med,Intersect-then-combine approach: improving the performance of somatic variant calling in whole exome sequencing data using multiple aligners and callers,no,yes,yes,other,precisionFDA ,No,No,No,,,,,,No,40,Male,Professor,Other,Postdoc,Phd,Bioinformatics
PMC5693798,2017,Genome_Med,Whole-exome sequencing in amyotrophic lateral sclerosis suggests NEK1 is a risk gene in Chinese,no,yes,yes,other,Project Mine web browser,No,No,No,,,,,,No,21,Male,Head of Department,Other,"MD,Phd",Postdoc,Other
PMC5260019,2017,Genome_Med,"Genetic relatedness analysis reveals the cotransmission of genetically related Plasmodium falciparum parasites in Thiès, Senegal",no,yes,yes,other,CBI Sequence Read Archive repository,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,34,Female,Professor,Other,Phd,Phd,Other
PMC5561556,2017,Genome_Med,A practical guide to single-cell RNA-sequencing for biomedical research and clinical applications,yes,,,,,No,No,No,,,,,,No,361,Male,Researcher,Other,Phd,Phd,Other
PMC5729609,2017,Genome_Med,Mapping a shared genetic basis for neurodevelopmental disorders,yes,,,,,No,No,No,,,,,,No,21,Male,Associate Professor,Other,Postdoc,,Bioinformatics
PMC5713157,2017,Genome_Med,Emerging mechanisms and novel targets in allergic inflammation and asthma,yes,,,,,No,No,No,,,,,,No,3,Male,Professor,Other,MD,,
PMC5477758,2017,Genome_Med,Computing patient data in the cloud: practical and legal considerations for genetics and genomics research in Europe and internationally,yes,,,,,No,No,No,,,,,,No,27,Male,Head of Department,Other,Postdoc,Phd,Other
PMC5704398,2017,Genome_Med,Recurrent de novo mutations in neurodevelopmental disorders: properties and clinical implications,yes,,,,,No,No,No,,,,,,No,79,Male,Professor,"Other, Molecular Genetics",Phd,Phd,Other Statistical Genetics
PMC5404673,2017,Genome_Med,PathOS: a decision support system for reporting high throughput sequencing of cancers in clinical diagnostic laboratories,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,31,Male,Professor,Other,Phd,Phd,Other
PMC5340623,2017,Nat_Biotechnol,Dynamic regulation of metabolic flux in engineered bacteria using a pathway-independent quorum-sensing circuit,no,no,no,,,No,No,No,,,,,,No,301,Female,Professor,Other,Phd,,Other
PMC5462862,2017,Nat_Biotechnol,Generation of inner ear organoids with functional hair cells from human pluripotent stem cells,no,no,no,,,No,No,No,,,,,,No,153,Female,Professor,Other,Phd,Phd,Other
PMC5340646,2017,Nat_Biotechnol,A synthetic AAV vector enables safe and efficient gene transfer to the mammalian inner ear,no,no,no,,,No,No,No,,,,,,No,181,Male,Associate Professor,Other,Phd,"MD, Phd",Other
